Fecha y hora: 2022-09-30T08:42:48.749749200, Metodo: fichero_CSV_to_Binario, Entrada: src/main/resources/CSV/Empleados.csv, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\DAT\Empleados.dat, Exito: true
Fecha y hora: 2022-09-30T08:43:38.457212700, Metodo: fichero_CSV_to_Binario, Entrada: src/main/resources/CSV/Empleados.csv, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\DAT\Empleados.dat, Exito: true
Fecha y hora: 2022-09-30T08:44:26.843081600, Metodo: fichero_CSV_to_Binario, Entrada: src/main/resources/CSV/Empleados.csv, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\DAT\Empleados.dat, Exito: true
Fecha y hora: 2022-09-30T08:45:33.540300600, Metodo: fichero_CSV_to_Binario, Entrada: src/main/resources/CSV/Empleados.csv, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\DAT\Empleados.dat, Exito: true
Fecha y hora: 2022-09-30T08:47:08.616647600, Metodo: fichero_CSV_to_Binario, Entrada: src/main/resources/CSV/Empleados.csv, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\DAT\Empleados.dat, Exito: true
Fecha y hora: 2022-09-30T08:48:34.891403500, Metodo: fichero_CSV_to_Binario, Entrada: src/main/resources/CSV/Empleados.csv, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\DAT\Empleados.dat, Exito: true
Fecha y hora: 2022-09-30T08:55:34.117126, Metodo: fichero_CSV_to_Binario, Entrada: src/main/resources/CSV/Empleados.csv, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\DAT\Empleados.dat, Exito: true
Fecha y hora: 2022-09-30T08:56:06.796618300, Metodo: fichero_CSV_to_Binario, Entrada: src/main/resources/CSV/Empleados.csv, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\DAT\Empleados.dat, Exito: true
Fecha y hora: 2022-09-30T08:56:49.803953600, Metodo: fichero_CSV_to_Binario, Entrada: src/main/resources/CSV/Empleados.csv, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\DAT\Empleados.dat, Exito: true
Fecha y hora: 2022-09-30T08:57:26.722991800, Metodo: fichero_CSV_to_Binario, Entrada: src/main/resources/CSV/Empleados.csv, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\DAT\Empleados.dat, Exito: true
Fecha y hora: 2022-09-30T09:00:17.333658400, Metodo: fichero_CSV_to_Binario, Entrada: src/main/resources/CSV/Empleados.csv, Salida: C:\Users\alumnado\Documents\Actividades\ACCDA\U1. Ficheros\t2. Biblioteca Conversiones\src\main\resources\DAT\Empleados.dat, Exito: true
